Model,Entity,Precision,Recall,F1 Score,Accuracy
Regex,NAME,1.0,0.99,0.995,0.99
Regex,EMAIL,1.0,0.898,0.946,0.898
Regex,PHONE,1.0,0.543,0.704,0.543
Regex,ADDRESS,1.0,0.394,0.565,0.394
Regex,JOB,1.0,0.92,0.959,0.92
Regex,HOBBY,1.0,0.445,0.616,0.445
spaCy,NAME,1.0,0.933,0.965,0.933
spaCy,EMAIL,1.0,0.898,0.946,0.898
spaCy,PHONE,1.0,0.0,0.0,0.0
spaCy,ADDRESS,1.0,0.281,0.438,0.281
spaCy,JOB,1.0,0.409,0.581,0.409
spaCy,HOBBY,0.0,0.0,0.0,0.0
BERT,NAME,1.0,0.994,0.997,0.994
BERT,EMAIL,1.0,0.898,0.946,0.898
BERT,PHONE,1.0,0.543,0.704,0.543
BERT,ADDRESS,1.0,0.709,0.83,0.709
BERT,JOB,1.0,0.944,0.971,0.944
BERT,HOBBY,1.0,0.445,0.616,0.445
Presidio,NAME,1.0,0.948,0.973,0.948
Presidio,EMAIL,1.0,0.898,0.946,0.898
Presidio,PHONE,1.0,0.41,0.581,0.41
Presidio,ADDRESS,1.0,0.64,0.78,0.64
Presidio,JOB,1.0,0.92,0.959,0.92
Presidio,HOBBY,1.0,0.492,0.66,0.492
